Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2018-04-23,73.30436610007398,73.47830240593436,72.0288356478876,72.30906677246094,1225000,0.0,0.0,AME
2018-04-24,72.4250341065176,72.70526528801442,68.4631589708862,69.40048217773438,1736800,0.0,0.0,AME
2018-04-25,68.89799610529063,69.62272955363926,68.19258563838856,69.52609252929688,2431200,0.0,0.0,AME
2018-04-26,69.6324102026443,69.73870506639742,68.6371104532944,69.09127807617188,1452800,0.0,0.0,AME
2018-04-27,69.12025395190108,69.12025395190108,67.93169504657281,68.5597915649414,1931800,0.0,0.0,AME
2018-04-30,68.68540162723019,68.8786609176124,67.43885929886774,67.44852447509766,1861200,0.0,0.0,AME
2018-05-01,67.39054493995442,67.42919827488498,66.25996253962236,66.92671966552734,3139500,0.0,0.0,AME
2018-05-02,67.7480745750121,69.9222746387227,67.61279160528184,67.78672790527344,2751400,0.0,0.0,AME
2018-05-03,67.65146384060368,68.66608639711477,67.15864295751487,67.63213348388672,4585800,0.0,0.0,AME
2018-05-04,67.36157946062919,69.24589146794817,67.23596160909018,69.09127807617188,3295700,0.0,0.0,AME
2018-05-07,69.22651834609454,70.43440707682953,69.09123539804165,70.34744262695312,1849900,0.0,0.0,AME
2018-05-08,70.43443107274952,71.06253490119052,70.20251842170232,70.9755630493164,1748000,0.0,0.0,AME
2018-05-09,71.29444112292308,72.5216605093001,70.91758033431775,72.28008270263672,1879500,0.0,0.0,AME
2018-05-10,72.67625322164398,72.67625322164398,71.76791847503834,72.17377471923828,1788800,0.0,0.0,AME
2018-05-11,72.27042616250823,72.62796401314931,71.78727049144376,72.28974914550781,1374500,0.0,0.0,AME
2018-05-14,72.49266788065088,72.49266788065088,71.55535214607877,71.74861145019531,1078600,0.0,0.0,AME
2018-05-15,71.5070336338647,72.03850777874001,71.21713730532,71.74861145019531,1316800,0.0,0.0,AME
2018-05-16,71.87423287591163,72.62796189356648,71.58434390515538,72.39604187011719,1189900,0.0,0.0,AME
2018-05-17,72.43469087988424,73.15942432203241,72.1641249077281,72.79222869873047,1264400,0.0,0.0,AME
2018-05-18,72.85020716728661,73.53628729477258,72.66660566402626,72.99515533447266,1187100,0.0,0.0,AME
2018-05-21,73.43967239234863,74.10642967191174,73.43967239234863,73.67158508300781,1069700,0.0,0.0,AME
2018-05-22,73.78752616118398,73.95179730102345,72.95649791304712,73.02413940429688,918500,0.0,0.0,AME
2018-05-23,72.50233670443887,72.65695005340508,71.70996172191273,72.39604187011719,1024200,0.0,0.0,AME
2018-05-24,72.37671010381489,73.55561094331115,72.25108492993355,73.49762725830078,1332300,0.0,0.0,AME
2018-05-25,73.18841416926803,73.50729866054158,72.37671623406628,72.56031036376953,1126100,0.0,0.0,AME
2018-05-29,71.89356722397585,72.08682654854776,70.73398915943247,71.13018035888672,1153900,0.0,0.0,AME
2018-05-30,71.60366476059896,72.52166490498345,71.41040545250225,72.193115234375,1414400,0.0,0.0,AME
2018-05-31,72.27043527753185,72.36706494945795,70.49241835013164,70.5697250366211,2477400,0.0,0.0,AME
2018-06-01,71.28478918902277,72.12548276644074,71.04321133748128,71.70996856689453,1238900,0.0,0.0,AME
2018-06-04,72.0674986847328,72.3090765102737,71.70996084887899,72.2027816772461,895100,0.0,0.0,AME
2018-06-05,72.20278862390272,73.14976966260518,72.20278862390272,73.06280517578125,1569100,0.0,0.0,AME
2018-06-06,73.10145444929016,73.40100860595703,72.60863360092654,73.40100860595703,1245200,0.0,0.0,AME
2018-06-07,73.43966334817868,73.63292267119932,72.83088984553008,73.2270736694336,831400,0.0,0.0,AME
2018-06-08,73.21739732122614,73.32369214438191,72.74390689140377,73.19807434082031,608300,0.0,0.0,AME
2018-06-11,73.19808180563004,73.55561964474052,72.89852765838923,73.07246398925781,1557400,0.0,0.0,AME
2018-06-12,73.21740158109307,73.44932159367326,72.92751262392268,73.29470825195312,654100,0.0,0.0,AME
2018-06-13,73.4589784522953,73.64257995013118,72.73424501014713,72.79222869873047,1010000,0.0,0.0,AME
2018-06-14,72.85998106790154,73.18913501473543,72.14357414933038,72.453369140625,887300,0.14,0.0,AME
2018-06-15,72.16295535502945,72.77286229242958,71.78539286243459,72.6954116821289,1503800,0.0,0.0,AME
2018-06-18,72.01773009158505,72.62763696787692,71.68857610993115,72.50178527832031,838800,0.0,0.0,AME
2018-06-19,71.63049551960874,71.82412205584255,70.3719562715261,71.03994750976562,1209700,0.0,0.0,AME
2018-06-20,71.52400595469673,71.52400595469673,70.75919772125059,70.97218322753906,771200,0.0,0.0,AME
